Company,Time Period,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
Trilogy,More Than Six Months,MEDIUM,Bitwise XOR of All Pairings,100.0,0.670259558,https://leetcode.com/problems/bitwise-xor-of-all-pairings,"Array, Bit Manipulation, Brainteaser"
PayPay,Three Months,HARD,Block Placement Queries,100.0,0.16507291,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
Deutsche Bank,More Than Six Months,MEDIUM,Boats to Save People,97.0,0.60137257,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
Nutanix,Six Months,MEDIUM,Boundary of Binary Tree,87.4,0.470310827,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
Niantic,Six Months,MEDIUM,Brace Expansion,100.0,0.666784019,https://leetcode.com/problems/brace-expansion,"String, Backtracking, Breadth-First Search"
J.P. Morgan,More Than Six Months,MEDIUM,Break a Palindrome,86.1,0.515233243,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
Trexquant,More Than Six Months,MEDIUM,Brick Wall,100.0,0.557964804,https://leetcode.com/problems/brick-wall,"Array, Hash Table"
Snap,Thirty Days,HARD,Bricks Falling When Hit,100.0,0.356060204,https://leetcode.com/problems/bricks-falling-when-hit,"Array, Union Find, Matrix"
Hertz,More Than Six Months,MEDIUM,Brightest Position on Street,100.0,0.607691731,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
Millennium,More Than Six Months,MEDIUM,Broken Calculator,100.0,0.550450797,https://leetcode.com/problems/broken-calculator,"Math, Greedy"
Zoho,Three Months,EASY,Buddy Strings,87.5,0.336099544,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
Microsoft,Thirty Days,EASY,Build Array from Permutation,51.7,0.911140862,https://leetcode.com/problems/build-array-from-permutation,"Array, Simulation"
Amdocs,More Than Six Months,HARD,Build Array Where You Can Find The Maximum Exactly K Comparisons,100.0,0.668951162,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,"Dynamic Programming, Prefix Sum"
Snap,More Than Six Months,HARD,Build Binary Expression Tree From Infix Expression,51.2,0.624485642,https://leetcode.com/problems/build-binary-expression-tree-from-infix-expression,"String, Stack, Tree, Binary Tree"
Tesla,Thirty Days,MEDIUM,Building H2O,100.0,0.574566988,https://leetcode.com/problems/building-h2o,Concurrency
Meta,Three Months,MEDIUM,Buildings With an Ocean View,88.3,0.807164024,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack"
Accenture,More Than Six Months,MEDIUM,Bulb Switcher,100.0,0.539656392,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
CARS24,More Than Six Months,MEDIUM,Bulls and Cows,77.6,0.512639311,https://leetcode.com/problems/bulls-and-cows,"Hash Table, String, Counting"
QBurst,More Than Six Months,HARD,Burst Balloons,100.0,0.609949017,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
Pinterest,Thirty Days,HARD,Bus Routes,100.0,0.469724085,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
J.P. Morgan,Six Months,EASY,Button with Longest Push Time,97.9,0.40472275,https://leetcode.com/problems/button-with-longest-push-time,Array
Netflix,Three Months,MEDIUM,Cache With Time Limit,65.9,0.757035027,https://leetcode.com/problems/cache-with-time-limit,
Snowflake,Three Months,EASY,Calculate Amount Paid in Taxes,83.2,0.672316628,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
Apple,Thirty Days,MEDIUM,Calculate Score After Performing Instructions,100.0,0.551470837,https://leetcode.com/problems/calculate-score-after-performing-instructions,"Array, Hash Table, String, Simulation"
Compass,Six Months,MEDIUM,Camelcase Matching,90.1,0.635852859,https://leetcode.com/problems/camelcase-matching,"Array, Two Pointers, String, Trie, String Matching"
Infosys,More Than Six Months,MEDIUM,Can Convert String in K Moves,52.2,0.358462888,https://leetcode.com/problems/can-convert-string-in-k-moves,"Hash Table, String"
LinkedIn,Three Months,MEDIUM,Can I Win,47.0,0.303095035,https://leetcode.com/problems/can-i-win,"Math, Dynamic Programming, Bit Manipulation, Memoization, Game Theory, Bitmask"
Akuna Capital,More Than Six Months,MEDIUM,Can Make Palindrome from Substring,68.9,0.401029864,https://leetcode.com/problems/can-make-palindrome-from-substring,"Array, Hash Table, String, Bit Manipulation, Prefix Sum"
Nike,More Than Six Months,EASY,Can Place Flowers,100.0,0.288680963,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
Tencent,More Than Six Months,HARD,Candy,100.0,0.446602695,https://leetcode.com/problems/candy,"Array, Greedy"
Capital One,Thirty Days,MEDIUM,Candy Crush,88.7,0.773201918,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
Mindtickle,More Than Six Months,MEDIUM,Capacity To Ship Packages Within D Days,100.0,0.717906423,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
Robinhood,More Than Six Months,MEDIUM,Capital Gain/Loss,65.2,0.84945605,https://leetcode.com/problems/capital-gainloss,Database
Nutanix,More Than Six Months,MEDIUM,Car Fleet,100.0,0.532792576,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
Zepto,More Than Six Months,MEDIUM,Car Pooling,85.2,0.560097767,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
Zendesk,More Than Six Months,EASY,Categorize Box According to Criteria,100.0,0.371464628,https://leetcode.com/problems/categorize-box-according-to-criteria,Math
HashedIn,Six Months,HARD,Chalkboard XOR Game,100.0,0.625880954,https://leetcode.com/problems/chalkboard-xor-game,"Array, Math, Bit Manipulation, Brainteaser, Game Theory"
National Instruments,More Than Six Months,MEDIUM,Champagne Tower,100.0,0.582475748,https://leetcode.com/problems/champagne-tower,Dynamic Programming
Deloitte,More Than Six Months,MEDIUM,Change Null Values in a Table to the Previous Value,65.5,0.514088973,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Database
Stripe,Six Months,MEDIUM,Cheapest Flights Within K Stops,100.0,0.402503724,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
Lyft,Thirty Days,MEDIUM,Check Completeness of a Binary Tree,96.4,0.582462712,https://leetcode.com/problems/check-completeness-of-a-binary-tree,"Tree, Breadth-First Search, Binary Tree"
Yelp,More Than Six Months,EASY,Check If a Word Occurs As a Prefix of Any Word in a Sentence,75.7,0.686715957,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,"Two Pointers, String, String Matching"
Bolt,More Than Six Months,EASY,Check if All Characters Have Equal Number of Occurrences,73.1,0.785280765,https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences,"Hash Table, String, Counting"
BitGo,More Than Six Months,HARD,Check if an Original String Exists Given Two Encoded Strings,88.7,0.431594511,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings,"String, Dynamic Programming"
SoundHound,More Than Six Months,EASY,Check if Array Is Sorted and Rotated,100.0,0.550440617,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
DevRev,More Than Six Months,MEDIUM,Check If Array Pairs Are Divisible by k,92.7,0.462164203,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,"Array, Hash Table, Counting"
